nama;time;Ulasan;ket;Label
@tututuofficial358;2 tahun yang lalu;"Terima ksh atas penjelasan dokter.
Semoga bermanfaat untuk banyak
Orang";bermanfaat;1
@elitatailor3578;2 tahun yang lalu;Terima kasih pak ilmux dan jg penjelasan nya semua sehat selalu;bermanfaat;1
@mustarisiara9210;2 tahun yang lalu;Keren neh! Sehat dan Mensemangati untuk selalu sehat.;bermanfaat;1
@madesuka3516;1 tahun yang lalu;Kalau ini baru YouTube YouTube bermanfaat,,, terimakasih,, semoga sukses,,;bermanfaat;1
@mariae.purwaningsih4044;2 tahun yang lalu;Terima kasih infonya dokter, saya suka dan kadang2 mengonsumsi sebagai sayur ,;bermanfaat;1
@stsaenab5870;1 tahun yang lalu;Terima kasih mantap;bermanfaat;1
@junaidikreatoryoutube5263;1 tahun yang lalu;Aku hadir wak haji berburu hama like ser komen saskreb AMAN;bermanfaat;1
@Teratai6211;6 bulan yang lalu;Allhamdulilah daun kelor rupanya banyak manfaatnya,  mau coba mkn ah,, dll pernah makan daun kelor skrg udh ngk prnah lagi, tapi mau coba lagi;bermanfaat;1
@johanak.3317;2 tahun yang lalu;Trims ksh pk wirawan... Atas penyampaian nya yg jelas sehat sll & pjng umur;bermanfaat;1
@mohdazlin7504;5 bulan yang lalu;Good job tq bosku untuk menafaat nya.;bermanfaat;1
@ESarahh;2 tahun yang lalu (diedit);Keren bangat memang daun kelor tidak perlu minum vitamin lg karna kelor memiliki semua vitamin yg kita butuhkan. Di sini saya punya pohon kelor di kebun belakang. Saya tumis,di keringkan utk teh (kalo saya tdk pakai gula).;bermanfaat;1
@SalsabilaZT-19;1 tahun yang lalu;Terimksih info pnting sekali __ini sangat bermanfaat ,,;bermanfaat;1
@pakyanto8843;2 tahun yang lalu;Saya sangat bertrimakasih atas informasi tersebut saudaraku ini hal yang sangat penting bagiku .untuk menambah pengetauhan kebetulan aku gemar menanam pohon kelor.sekali lagi trimakasi.;bermanfaat;1
@saanisaani6803;2 tahun yang lalu;Terima kasih pak wirawan solusinya bisa jadi ilmu pengetahuan dan keterampilan dan pengetahuan kami  tentang daun kelor;bermanfaat;1
@radjahina4127;2 tahun yang lalu;Trimakasih Pak.Wir.buat Tipsnya..semoga bermanfaat bagi kami..;bermanfaat;1
@yohanespurnama547;1 tahun yang lalu;"Trims infonya...
Bersyukur di rumah ada pohon kelor dah 3x ditebang pangkas... sekarang diameter batang besar lebih 10 cm... tinggi hampir 2 lt rmh... dah dimanfaatkan buat sayur bening... dikeringkan buat teh... di manfaatin tetangga/berbagi manfaat... mau ditebang habis... terlanjur sayang... kadang jd tempat rehat burung ....
Namun blm sempat manfaatin kulit batang & buahnya....";bermanfaat;1
@dekymusena2305;2 tahun yang lalu;Trima kasih dok, Tuhan Berkati dalam tugas pelayanan.;bermanfaat;1
@Teratai6211;6 bulan yang lalu;Allhamdulilah daun kelor rupanya banyak manfaatnya,  mau coba mkn ah,, dll pernah makan daun kelor skrg udh ngk prnah lagi, tapi mau coba lagi;bermanfaat;1
@johanak.3317;2 tahun yang lalu;Trims ksh pk wirawan... Atas penyampaian nya yg jelas sehat sll & pjng umur;bermanfaat;1
@mohdazlin7504;5 bulan yang lalu;Good job tq bosku untuk menafaat nya.;bermanfaat;1
@ESarahh;2 tahun yang lalu (diedit);Keren bangat memang daun kelor tidak perlu minum vitamin lg karna kelor memiliki semua vitamin yg kita butuhkan. Di sini saya punya pohon kelor di kebun belakang. Saya tumis,di keringkan utk teh (kalo saya tdk pakai gula).;bermanfaat;1
@SalsabilaZT-19;1 tahun yang lalu;Terimksih info pnting sekali __ini sangat bermanfaat ,,;bermanfaat;1
@pakyanto8843;2 tahun yang lalu;Saya sangat bertrimakasih atas informasi tersebut saudaraku ini hal yang sangat penting bagiku .untuk menambah pengetauhan kebetulan aku gemar menanam pohon kelor.sekali lagi trimakasi.;bermanfaat;1
@saanisaani6803;2 tahun yang lalu;Terima kasih pak wirawan solusinya bisa jadi ilmu pengetahuan dan keterampilan dan pengetahuan kami  tentang daun kelor;bermanfaat;1
@radjahina4127;2 tahun yang lalu;Trimakasih Pak.Wir.buat Tipsnya..semoga bermanfaat bagi kami..;bermanfaat;1
@yohanespurnama547;1 tahun yang lalu;"Trims infonya...
Bersyukur di rumah ada pohon kelor dah 3x ditebang pangkas... sekarang diameter batang besar lebih 10 cm... tinggi hampir 2 lt rmh... dah dimanfaatkan buat sayur bening... dikeringkan buat teh... di manfaatin tetangga/berbagi manfaat... mau ditebang habis... terlanjur sayang... kadang jd tempat rehat burung ....
Namun blm sempat manfaatin kulit batang & buahnya....";bermanfaat;1
@dekymusena2305;2 tahun yang lalu;Trima kasih dok, Tuhan Berkati dalam tugas pelayanan.;bermanfaat;1
@lemonlime3030;1 tahun yang lalu;Banyak2 terima kasih atas infonya dan sangat berguna bagi si penderita penyakit kanker. Ditunggu lagi ya Pak informasi lainnya. Sangat bagus sekali.;bermanfaat;1
@Opus856;1 tahun yang lalu;Terima kasih ilmunya. Semoga bapa panjang umur dalam sehat wal afiat.;bermanfaat;1
@subani2746;8 bulan yang lalu;Trima kasih ilmunya saya sdah setiap saat mngosumsi daun kelor sekarang sudah tau manfaatnya  kbetulan saya keadaan baik2 saja tdak mngosumsi obat2tan;bermanfaat;1
@kaidulib1446;2 tahun yang lalu;Amin trks pak atas  impo nya yg telamemberi solusi pengobatan untuk kita semua  semoga bermanpaat untuk kita emua salam sehat selalu;bermanfaat;1
@syaifullahsape5753;2 tahun yang lalu;Terima kasih dokter yg telah menjelaskan manfaat dan efek samping daun kelor;bermanfaat;1
@arikpuspitasari2626;2 tahun yang lalu;Penjelasanya sangat2 jelas dan lengkap dengan cara mengolahnya..makasih pak sdokter,sehat selalu;bermanfaat;1
@mbakrum6124;2 tahun yang lalu;Nyimak pak Alhamdulillah saya jg nanam kelor dan SDH subur;bermanfaat;1
@trissutrisno4178;9 bulan yang lalu;Madura Hadir mantap imfo daun kelor  untuk pengubatan di buat teh daun kelor trm p haji;bermanfaat;1
@lessinambela7076;1 tahun yang lalu;Sy sgt suka dan seneng mendengarkan dan nonton video bpk dokter ini sgt 2 jls dan mudah dimengerti. Trs menyuarakan ke sehatan dok subscribe sdh. Gbu;bermanfaat;1
@miharti4778;2 tahun yang lalu;Terima kasih pak  semoga bermanfaat Amiin;bermanfaat;1
@fajarmaulana-lh9mx;2 tahun yang lalu;Terimakasih pak wirawan tpis nya semoga bermanfaat;bermanfaat;1
@harismunandar2433;1 tahun yang lalu;Manfaat banget infonya ..;bermanfaat;1
@laikhatanjung15;8 bulan yang lalu;Alhamdulillah sdh d share pk..dn d bri jmpol;bermanfaat;1
@sbri733;2 tahun yang lalu;Perlu sekali penjelasan mengenai kesehatan,tentunya bermanfaat buat semuanya,;bermanfaat;1
@zubentavareschan_nel9221;2 tahun yang lalu;Mantab pak ...ga sia2 sy tanam pohon kelor ...__smg sukses sll;bermanfaat;1
@nursidanursida3461;1 tahun yang lalu;Amiiin ...mks info  nya  smg sll bermamfaat  bagi yg membutuh kan;bermanfaat;1
@lutherbunga3001;2 tahun yang lalu;Sangat Bermamfaat... Makasih Pak;bermanfaat;1
@dzatifitroh2662;1 tahun yang lalu;Alhamdulillah,  terimakasih informasinya.;bermanfaat;1
@violamon8657;1 tahun yang lalu;Di tempat kami ntt daun kelor  dijadikan sayuran sejak dari dulu;bermanfaat;1
@susanasuginem6558;1 tahun yang lalu;Trimakasih pak inponya tentang manfaat daun kelor.;bermanfaat;1
@tetehanidedediky232;2 tahun yang lalu;Trimakasih atas impo nya Dokter semoga sehat slalu;bermanfaat;1
@gusnauval4850;9 bulan yang lalu;mks penjelasan manfaat daun kelor& efek samping nya kongkret/ jelas slm Dokter dg pembahan dr HIDUP SEHAT;bermanfaat;1
@octovianavioletataga;2 tahun yang lalu;Terima Kasih Pak.buat Tips nya.kebetulan di rm banyak pohon kelor.Sehat selalu Pak.tetap semangat;bermanfaat;1
@fajarmaulana-lh9mx;2 tahun yang lalu;Terimakasih pak wirawan tpis nya semoga bermanfaat;bermanfaat;1
@harismunandar2433;1 tahun yang lalu;Manfaat banget infonya ..;bermanfaat;1
@laikhatanjung15;8 bulan yang lalu;Alhamdulillah sdh d share pk..dn d bri jmpol;bermanfaat;1
@sbri733;2 tahun yang lalu;Perlu sekali penjelasan mengenai kesehatan,tentunya bermanfaat buat semuanya,;bermanfaat;1
@zubentavareschan_nel9221;2 tahun yang lalu;Mantab pak ...ga sia2 sy tanam pohon kelor ...__smg sukses sll;bermanfaat;1
@nursidanursida3461;1 tahun yang lalu;Amiiin ...mks info  nya  smg sll bermamfaat  bagi yg membutuh kan;bermanfaat;1
@lutherbunga3001;2 tahun yang lalu;Sangat Bermamfaat... Makasih Pak;bermanfaat;1
@dzatifitroh2662;1 tahun yang lalu;Alhamdulillah,  terimakasih informasinya.;bermanfaat;1
@violamon8657;1 tahun yang lalu;Di tempat kami ntt daun kelor  dijadikan sayuran sejak dari dulu;bermanfaat;1
@susanasuginem6558;1 tahun yang lalu;Trimakasih pak inponya tentang manfaat daun kelor.;bermanfaat;1
@tetehanidedediky232;2 tahun yang lalu;Trimakasih atas impo nya Dokter semoga sehat slalu;bermanfaat;1
@gusnauval4850;9 bulan yang lalu;mks penjelasan manfaat daun kelor& efek samping nya kongkret/ jelas slm Dokter dg pembahan dr HIDUP SEHAT;bermanfaat;1
@octovianavioletataga;2 tahun yang lalu;Terima Kasih Pak.buat Tips nya.kebetulan di rm banyak pohon kelor.Sehat selalu Pak.tetap semangat;bermanfaat;1
@usmiatiuus9936;11 bulan yang lalu;Seumur umur saya baru msk daun koler ,, ternyata enak juga ,sampe saya ketagihan ,akhir ny menanam pohon ny ,, terimakasih pa DR ilmu ny;bermanfaat;1
@kadekyuni2493;2 tahun yang lalu;"Selamat siang dok 
Terima kasih sudah berbagi
Semoga Tuhan selalu memberkati";bermanfaat;1
@mamataja9764;2 tahun yang lalu;"Ass
  Terimakasih p dokter ataspenjelasanya mengenai manpaatnya daun,kelor";bermanfaat;1
@antomongi2609;1 tahun yang lalu;Terimah kasih, sangat bermanfaat;bermanfaat;1
@hildacitradewi8523;1 tahun yang lalu;Daun kelor byk buat manfaatnya di buat sayur enak loh;bermanfaat;1
@imahcaem;2 tahun yang lalu;Sehat dan nikmat, mantap  ketamakan namun sehat;bermanfaat;1
@ihardy4985;2 tahun yang lalu;Terimakasih pak Wirawan, tips bermanfaat. Subscribed, thumbed up. Sy kirim ke teman2 di luar negeri. Usul: English Subtitle please.  Terimakasih.;bermanfaat;1
@basrinismail8769;2 tahun yang lalu;Saya sangat gembira atas penjelelasan pak dokter atas manfaatnya daun kelor, karena saya mempunyai kebun kelor;bermanfaat;1
@totokbudiutomo9789;1 tahun yang lalu;ilmu yg sangat bermanfaat. Mantab.;bermanfaat;1
@kakaminkamim9925;2 tahun yang lalu;Terima  kasih  Pak  Dokter  sarannya  .mg sehat  selalu  ya Dokter  AMIN. mg beguna  Dan manfa'at  untuk  kita  semuanya  AMIN.;bermanfaat;1
@lisajoe8720;2 tahun yang lalu;Blm pernah masak daun kelor, ternyata byk fungsinya. Thanks doc infonya, jd ga sabar pgn coba masak daun super ini.;bermanfaat;1
@Calon_Surga-6A.;2 tahun yang lalu;Makasih banyak semoga bermanfaat buat semua yang nonton . sukses selalu dokter;bermanfaat;1
@mulyatidani3327;8 bulan yang lalu;Terima kasih Dok infonya yg sangat bermanfaat bagi saya;bermanfaat;1
@lililahat1141;1 tahun yang lalu;Baru pertama kx nonton enak banget cara penyampaiannya akrab dan mudah difahami terimakasih Koko;bermanfaat;1
@Mamahdika-jv5jk;1 tahun yang lalu;"MasyaAllah, ternyata selain enak di konsumsi ternyata daun kelor juga kaya manfaatnya
Terimakasih infonya dokter
Saya suka banget sayur bening daun kelor plus jagung manis,mantaaaap";bermanfaat;1
@faisahatar8010;2 tahun yang lalu;TERIMAKASIH IMFONYA YG BAIK .;bermanfaat;1
@marwatiarmalabintiediholid433;1 tahun yang lalu;Wah hebat sekali hasiat daun kelor trimakasih pa doktor;bermanfaat;1
@basrinismail8769;2 tahun yang lalu;Saya sangat gembira atas penjelelasan pak dokter atas manfaatnya daun kelor, karena saya mempunyai kebun kelor;bermanfaat;1
@totokbudiutomo9789;1 tahun yang lalu;ilmu yg sangat bermanfaat. Mantab.;bermanfaat;1
@kakaminkamim9925;2 tahun yang lalu;Terima  kasih  Pak  Dokter  sarannya  .mg sehat  selalu  ya Dokter  AMIN. mg beguna  Dan manfa'at  untuk  kita  semuanya  AMIN.;bermanfaat;1
@lisajoe8720;2 tahun yang lalu;Blm pernah masak daun kelor, ternyata byk fungsinya. Thanks doc infonya, jd ga sabar pgn coba masak daun super ini.;bermanfaat;1
@Calon_Surga-6A.;2 tahun yang lalu;Makasih banyak semoga bermanfaat buat semua yang nonton . sukses selalu dokter;bermanfaat;1
@mulyatidani3327;8 bulan yang lalu;Terima kasih Dok infonya yg sangat bermanfaat bagi saya;bermanfaat;1
@lililahat1141;1 tahun yang lalu;Baru pertama kx nonton enak banget cara penyampaiannya akrab dan mudah difahami terimakasih Koko;bermanfaat;1
@Mamahdika-jv5jk;1 tahun yang lalu;"MasyaAllah, ternyata selain enak di konsumsi ternyata daun kelor juga kaya manfaatnya
Terimakasih infonya dokter
Saya suka banget sayur bening daun kelor plus jagung manis,mantaaaap";bermanfaat;1
@faisahatar8010;2 tahun yang lalu;TERIMAKASIH IMFONYA YG BAIK .;bermanfaat;1
@marwatiarmalabintiediholid433;1 tahun yang lalu;Wah hebat sekali hasiat daun kelor trimakasih pa doktor;bermanfaat;1
@rurimagayanti1722;1 tahun yang lalu;Thanks dok informasinya semoga bermanfaat bagi masyarakat murah meriah banyak di halaman rumah sehat sehat amin...;bermanfaat;1
@martinah317;2 tahun yang lalu;Makasih banyak ilmu nya Pak dok ter ?;bermanfaat;1
@buatcarasehst;2 tahun yang lalu;Terima kasih Banyak Bapak, atas informasinya sangat bermanfaat sekali untuk kesehatan tubuh kita semoga menjadi berkah;bermanfaat;1
@hotmansiregar413;1 tahun yang lalu;Mantap cara penyampaiannya ....terimakasih;bermanfaat;1
@emmyharyati4875;2 tahun yang lalu;Terimakasih atas ilmunya ya pak;bermanfaat;1
@ihnewatiandaria5473;1 tahun yang lalu;Dan ternyata siswa SD kls Dua asal NTT yg bernama Nono yg menjadi juara dunia matematika sekarang sedang viral kesehariannya dlm keluarganya, mereka. Mengkonsumsi daun kelor dan jg meminumnya seperti teh;bermanfaat;1
@SerojaSenja;2 tahun yang lalu;Terimakasih infonya dok,  saya sering memberi daun kelor utk ibu saya yg menderita diaber dan darah tinggi.  Disayur bening dengan jagung manis enak sekali.;bermanfaat;1
@keysa.lauriana3201;1 tahun yang lalu;Terimakasih informasi informasi pentingnya....semoga  Chanel ini terus berkembang dan bisa memberi banyak manfaat subcribernya;bermanfaat;1
@dewinunungmasruroh1746;1 tahun yang lalu;Terima kasih Pak atas penjelasan tentang daun kelor;bermanfaat;1
@sitikhadijah8361;2 tahun yang lalu;Terima kasih ilmunya Dokter,,;bermanfaat;1
@triwibowo7797;2 tahun yang lalu;"Assalamualaikum Warahmatullahi Wabarakatuh... 
Alhamdulillah... barakallahu  
semoga kita +Sehat.. ...umur yang bermanfaat  bagi Kita sesama Ummat,  
Terimakasih atas penjelasan dari segala sesuatu pemanfaatannya.
Daun'kelor. , ya....";bermanfaat;1
@didikendang7988;1 tahun yang lalu;Mantap......sy sudah memasak kelor sehingga jadi kini Tahu manfaatnya Trimakasih;bermanfaat;1
@indahsulastri4247;1 tahun yang lalu;Terima kasih Dokter atas ilmunya;bermanfaat;1
@yanispa5309;2 tahun yang lalu;Makasih atas inponya.;bermanfaat;1
@asta1473;2 tahun yang lalu;"Terima kasih atas penjelasan nya.....semoga ada manfaat nya bagi masyarakat umum
Semoga sehat selalu.";bermanfaat;1
@mamatmetro6474;1 tahun yang lalu;terima kasih impo nya saya suka d sayur bening rasa nys lejat dn sedap bgtt;bermanfaat;1
@dahmanhartani9397;1 tahun yang lalu;Saya biasa mengkonsumsi daun kelor direbus lalu diminum semoga atas info dari dokter tadi menjadi lebih faham cara penggunaan khasiat daun kelor;bermanfaat;1
@triwibowo7797;2 tahun yang lalu;"Assalamualaikum Warahmatullahi Wabarakatuh... 
Alhamdulillah... barakallahu  
semoga kita +Sehat.. ...umur yang bermanfaat  bagi Kita sesama Ummat,  
Terimakasih atas penjelasan dari segala sesuatu pemanfaatannya.
Daun'kelor. , ya....";bermanfaat;1
@didikendang7988;1 tahun yang lalu;Mantap......sy sudah memasak kelor sehingga jadi kini Tahu manfaatnya Trimakasih;bermanfaat;1
@indahsulastri4247;1 tahun yang lalu;Terima kasih Dokter atas ilmunya;bermanfaat;1
@yanispa5309;2 tahun yang lalu;Makasih atas inponya.;bermanfaat;1
@asta1473;2 tahun yang lalu;"Terima kasih atas penjelasan nya.....semoga ada manfaat nya bagi masyarakat umum
Semoga sehat selalu.";bermanfaat;1
@mamatmetro6474;1 tahun yang lalu;terima kasih impo nya saya suka d sayur bening rasa nys lejat dn sedap bgtt;bermanfaat;1
@dahmanhartani9397;1 tahun yang lalu;Saya biasa mengkonsumsi daun kelor direbus lalu diminum semoga atas info dari dokter tadi menjadi lebih faham cara penggunaan khasiat daun kelor;bermanfaat;1
@indratnoindratno9349;2 tahun yang lalu;Semoga sehat selalu Dokter;bermanfaat;1
@mariashinta1344;2 tahun yang lalu;Senang banget dgn penjelasannya...sukses sllu ya pak...;bermanfaat;1
@brsiregar6525;1 tahun yang lalu;Trima Kasih Bapa  jadi kami tau manfaatnya daun kelor;bermanfaat;1
@academyhidupsehat100tahun;1 tahun yang lalu;Daun kelor adalah salah satu sayuran yang mudah tumbuh di lingkungan kita. Memiliki banyak manfaat karena memiliki manfaat sebagai tanaman herbal. Baik jika dikonsumsi tidak berlebihan. Terima kasih penjelasannya Pak Wirawan. Salam sehat dan panjang umur..;bermanfaat;1
@maribelajaryoutube;2 tahun yang lalu;Senang nonton video ini,,, dok kebetulan di poin no 5 ada batang dan kulit daun kelor bagus untuk bagian usus,,dok saat ini abang saya lagi menunggu keputusan operasi atau tidak krn hasil indescopi ususnya sudah bengkak/berdarah,,dan saya udh kirim daun kelor ke kampung untuk di konsumsi abg saya,,,cara mengolah batang/kulit nya seperti apa ya Dok terimakasih;bermanfaat;1
@tokoidaman7320;2 tahun yang lalu;Masyaallah... bersyukur saya punya pohon kelor.. bismillah;bermanfaat;1
@Mommy_lestari;1 tahun yang lalu;Tks ini ilmu yg luar biasa bermanfaat bagi umat namun satu hal yg kami tykn tentang menggunakan nya..bro Hari sekali kami boleh memasanya;bermanfaat;1
@tuparnimrs7071;1 tahun yang lalu;Terimakasih , semoga kelor menjadi obat bagi kesehatan keluarga kami;bermanfaat;1
@thiolayim9787;2 tahun yang lalu;"Terimakasih pak penjelasannya SANGAT bermanfaat sekali
Mau tanya, kalau akar kelornya, manfaatnya apa ya?
Apakah mengandung racun ?
TERIMAKASIH  PAK, SUKSES SELALU";bermanfaat;1
@yosefinaroga731;2 tahun yang lalu;Terimakasih dok atas infonya emang kt org Flores tiap hari mkn daun kelor sebagai sayur tradisi kami semoga kami di beri kesehatan amin;bermanfaat;1
@relaginting2895;1 tahun yang lalu;Keren sangat berharga bagi aku;bermanfaat;1
@EunikeYuniq;3 bulan yang lalu;DOKTER, DAUN KELOR SUPAYA TIDAK TERLALU OVER DI KONSUMSI, BAIKNYA ATURAN NYA BAGAIMANA. BISA SETIAP HARI KAH, SEMINGGU SEKALI KAH... KALAU AKU SUDAH RUTIN MINUM OBAT DARAH TINGGI, ADA JEDA WAKTU KAH MINUM OBAT SAMA KONSUMSI DAUN KELOR. AKU BIASA NYA OBAT DARAH TINGGI DI MINUM SEBELUM TIDUR MALAM. MOHON JAWABAN NYA DOKTER. TRIMAKASIH SEBELUMNYA.;bermanfaat;1
@udatamburin1842;2 tahun yang lalu;Terimakasih bapak telah berbagi ilmu tentang manfaat daun kelor... Rupanya sangat banyak sekali manfaatnya...;bermanfaat;1
@borneandailylife;2 tahun yang lalu;Terima kasih atas keterangannya, saya dan keluarga selama ini memang sering konsumsi daun kelor, Tpi gak tau Klau ada efek sampingnya, jadi saya mau tanya Dokter, seberapa banyak aja yg bisa di konsumsi bagi seseorang yg makan obat darah tinggi 10mg tiap hari?;bermanfaat;1
@rafaalfarizi3452;1 tahun yang lalu;Aku suka bnget daun kelor sayur bening enak bnget;bermanfaat;1
@sisiliat7059;1 tahun yang lalu;Terima kasih informasinya dokter,semoga bermanfaat buat kami...kami juga tunggu penjelasan selanjutnya tentang kesehatan;bermanfaat;1
@azam8175;2 tahun yang lalu (diedit);Daun kelor merupakan sayuran yg dimakan setiap hari bgi Suku Muna,SULTRA,kebiasan kami selalu dibuat sayur bening,cara masak nya biasa dicampur dgn buah pepaya,dan daun licin,kedua bisa dimasak dgn bunga pepayah dan daun licin ..dan masih banyak lgi cara masak nya sesuai selerah masing2,dari turun temurun sampai sekarang belum pernah ada org yg makan daun kelor mendapatkan efek samping yg sesuai bapak sebutkan,khusus suku2 yg ada dipropinsi SULTRA semua makan  daun kelor ,boleh dikatakan setiap waktu makan pasti ada sayur kelor.;bermanfaat;1
@astutitiwie5000;2 tahun yang lalu;Terima kasih informasinya pa Dokter, saya mau bertanya apakah daun kelor,, bisa menyembuhkan penyakit epilepsi,,dan bagaimana cara pengolahan nya dan aturan mengkonsumsinya? Terima kasih;bermanfaat;1
@dedehrokhayati660;1 tahun yang lalu;Bagus sekali infonya...;bermanfaat;1
@liyarahmawati6208;1 tahun yang lalu;saya suka daun kelor buat sayur bening;bermanfaat;1
@borneandailylife;2 tahun yang lalu;Terima kasih atas keterangannya, saya dan keluarga selama ini memang sering konsumsi daun kelor, Tpi gak tau Klau ada efek sampingnya, jadi saya mau tanya Dokter, seberapa banyak aja yg bisa di konsumsi bagi seseorang yg makan obat darah tinggi 10mg tiap hari?;bermanfaat;1
@rafaalfarizi3452;1 tahun yang lalu;Aku suka bnget daun kelor sayur bening enak bnget;bermanfaat;1
